real_name,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3683.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3712.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3743.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3773.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3804.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3834.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3865.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3896.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3926.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3957.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3987.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:4018.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3683.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3712.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3743.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3773.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3804.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3834.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3865.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3896.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3926.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3957.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3987.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:4018.5,oname:sfr_otype:lst_usecol:gage-1_time:3683.5,oname:sfr_otype:lst_usecol:gage-1_time:3712.5,oname:sfr_otype:lst_usecol:gage-1_time:3743.5,oname:sfr_otype:lst_usecol:gage-1_time:3773.5,oname:sfr_otype:lst_usecol:gage-1_time:3804.5,oname:sfr_otype:lst_usecol:gage-1_time:3834.5,oname:sfr_otype:lst_usecol:gage-1_time:3865.5,oname:sfr_otype:lst_usecol:gage-1_time:3896.5,oname:sfr_otype:lst_usecol:gage-1_time:3926.5,oname:sfr_otype:lst_usecol:gage-1_time:3957.5,oname:sfr_otype:lst_usecol:gage-1_time:3987.5,oname:sfr_otype:lst_usecol:gage-1_time:4018.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3683.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3712.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3743.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3773.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3804.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3834.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3865.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3896.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3926.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3957.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3987.5,oname:sfrtd_otype:lst_usecol:gage-1_time:4018.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3683.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3712.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3743.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3773.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3804.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3834.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3865.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3896.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3926.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3957.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3987.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:4018.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3683.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3712.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3743.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3773.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3804.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3834.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3865.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3896.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3926.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3957.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3987.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:4018.5
10,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
11,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
12,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
13,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
14,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
15,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
16,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
17,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
18,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
19,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
20,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
21,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
22,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
23,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
24,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
25,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
26,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
